InventoryId	POID	PODate	TransNumber	TransDate	VendorId	StoreInId	StoreOutId	ProductID	WhseShipCfg	WhseRecQty	WhseRecCost
325601	9585	2016-01-02 09:39:55.000	NULL	NULL	10	NULL	NULL	80	Case 	858	NULL
325718	NULL	NULL	22903	2016-01-04 10:18:10.000	0	11	1	80	NULL	0	NULL
325762	NULL	NULL	22905	2016-01-04 10:18:11.000	0	10	1	80	NULL	0	NULL
325893	NULL	NULL	22912	2016-01-04 10:18:14.000	0	8	1	80	NULL	0	NULL
326128	NULL	NULL	22923	2016-01-04 10:18:18.000	0	8	1	80	NULL	0	NULL
326156	NULL	NULL	22925	2016-01-04 10:18:19.000	0	10	1	80	NULL	0	NULL
326260	NULL	NULL	22935	2016-01-04 10:18:22.000	0	11	1	80	NULL	0	NULL
326426	NULL	NULL	22948	2016-01-04 10:18:28.000	0	3	1	80	NULL	0	NULL
326583	NULL	NULL	22950	2016-01-04 14:43:28.000	0	8	1	80	NULL	0	NULL
326771	NULL	NULL	22956	2016-01-08 10:16:57.000	0	6	1	80	NULL	0	NULL
326872	NULL	NULL	22963	2016-01-08 10:16:59.000	0	8	1	80	NULL	0	NULL
326968	NULL	NULL	22968	2016-01-08 10:17:01.000	0	10	1	80	NULL	0	NULL
327027	NULL	NULL	22978	2016-01-08 10:17:05.000	0	11	1	80	NULL	0	NULL
327076	NULL	NULL	22980	2016-01-08 10:17:07.000	0	8	1	80	NULL	0	NULL
327207	NULL	NULL	22988	2016-01-08 10:17:10.000	0	3	1	80	NULL	0	NULL
327386	NULL	NULL	22999	2016-01-11 14:37:54.000	0	11	1	80	NULL	0	NULL
327435	NULL	NULL	23001	2016-01-11 14:37:55.000	0	10	1	80	NULL	0	NULL
327443	NULL	NULL	23005	2016-01-11 14:37:56.000	0	3	1	80	NULL	0	NULL
327522	NULL	NULL	23008	2016-01-11 14:37:58.000	0	8	1	80	NULL	0	NULL
327631	NULL	NULL	23010	2016-01-14 15:10:03.000	0	6	1	80	NULL	0	NULL
327816	NULL	NULL	23020	2016-01-14 15:10:07.000	0	9	1	80	NULL	0	NULL
327895	NULL	NULL	23025	2016-01-14 15:10:08.000	0	11	1	80	NULL	0	NULL
327947	NULL	NULL	23028	2016-01-14 15:10:10.000	0	8	1	80	NULL	0	NULL
327983	NULL	NULL	23030	2016-01-14 15:10:10.000	0	6	1	80	NULL	0	NULL
328069	NULL	NULL	23038	2016-01-15 11:50:16.000	0	3	1	80	NULL	0	NULL
328074	NULL	NULL	23039	2016-01-15 11:50:16.000	0	8	1	80	NULL	0	NULL
328284	NULL	NULL	23047	2016-01-20 14:15:23.000	0	10	1	80	NULL	0	NULL
328295	NULL	NULL	23050	2016-01-20 14:15:25.000	0	3	1	80	NULL	0	NULL
328343	NULL	NULL	23053	2016-01-20 14:15:26.000	0	8	1	80	NULL	0	NULL
328517	NULL	NULL	23074	2016-01-21 08:57:30.000	0	8	1	80	NULL	0	NULL
328630	NULL	NULL	23064	2016-01-22 12:31:36.000	0	9	1	80	NULL	0	NULL
328673	NULL	NULL	23067	2016-01-22 12:31:39.000	0	10	1	80	NULL	0	NULL
328695	NULL	NULL	23071	2016-01-22 12:31:42.000	0	11	1	80	NULL	0	NULL
328836	NULL	NULL	23080	2016-01-22 12:31:49.000	0	10	1	80	NULL	0	NULL
329130	9761	2016-01-26 08:33:53.000	NULL	NULL	10	NULL	NULL	80	Case 	780	2.35
329135	NULL	NULL	23090	2016-01-26 09:51:13.000	0	11	1	80	NULL	0	NULL
329192	NULL	NULL	23093	2016-01-26 09:51:13.000	0	3	1	80	NULL	0	NULL
329256	NULL	NULL	23101	2016-01-26 09:51:14.000	0	8	1	80	NULL	0	NULL
329528	NULL	NULL	23119	2016-01-28 08:14:29.000	0	9	1	80	NULL	0	NULL
329544	NULL	NULL	23122	2016-01-28 08:14:30.000	0	11	1	80	NULL	0	NULL
329633	NULL	NULL	23125	2016-01-28 08:14:35.000	0	8	1	80	NULL	0	NULL
329754	NULL	NULL	23130	2016-01-29 13:06:12.000	0	10	1	80	NULL	0	NULL
329796	9762	2016-02-02 10:20:37.000	NULL	NULL	10	NULL	NULL	80	Case 	780	2.35
329927	NULL	NULL	23143	2016-02-02 10:33:11.000	0	10	1	80	NULL	0	NULL
329973	NULL	NULL	23148	2016-02-02 10:33:13.000	0	8	1	80	NULL	0	NULL
330036	NULL	NULL	23151	2016-02-02 10:33:16.000	0	6	1	80	NULL	0	NULL
330338	NULL	NULL	23173	2016-02-04 09:40:45.000	0	11	1	80	NULL	0	NULL
330489	NULL	NULL	23175	2016-02-14 07:26:14.000	0	8	1	80	NULL	0	NULL
330723	NULL	NULL	23190	2016-02-14 07:26:34.000	0	11	1	80	NULL	0	NULL
330751	NULL	NULL	23191	2016-02-14 07:26:35.000	0	10	1	80	NULL	0	NULL
330842	NULL	NULL	23201	2016-02-14 07:26:51.000	0	8	1	80	NULL	0	NULL
331111	NULL	NULL	23215	2016-02-14 07:27:20.000	0	10	1	80	NULL	0	NULL
331147	NULL	NULL	23217	2016-02-14 07:27:27.000	0	11	1	80	NULL	0	NULL
331160	NULL	NULL	23220	2016-02-14 07:27:34.000	0	8	1	80	NULL	0	NULL
331349	NULL	NULL	23231	2016-02-14 07:27:55.000	0	8	1	80	NULL	0	NULL
331383	9763	2016-02-14 08:14:08.000	NULL	NULL	10	NULL	NULL	80	Case 	780	2.35
331547	NULL	NULL	23244	2016-02-16 09:33:09.000	0	8	1	80	NULL	0	NULL
331715	9764	2016-02-16 09:35:55.000	NULL	NULL	10	NULL	NULL	80	Case 	780	2.35
331814	NULL	NULL	23258	2016-02-16 14:16:57.000	0	10	1	80	NULL	0	NULL
331988	NULL	NULL	23262	2016-02-18 07:43:33.000	0	11	1	80	NULL	0	NULL
332017	NULL	NULL	23265	2016-02-18 13:09:41.000	0	8	1	80	NULL	0	NULL
332203	9765	2016-02-24 16:27:57.000	NULL	NULL	10	NULL	NULL	80	Case 	780	2.35
332265	NULL	NULL	23268	2016-02-26 10:45:32.000	0	6	1	80	NULL	0	NULL
332347	NULL	NULL	23284	2016-02-26 10:45:34.000	0	11	1	80	NULL	0	NULL
332386	NULL	NULL	23286	2016-02-26 10:45:35.000	0	10	1	80	NULL	0	NULL
332477	NULL	NULL	23294	2016-02-26 10:45:38.000	0	8	1	80	NULL	0	NULL
332680	NULL	NULL	23303	2016-02-26 10:45:41.000	0	10	1	80	NULL	0	NULL
332714	NULL	NULL	23306	2016-02-26 10:45:42.000	0	11	1	80	NULL	0	NULL
332747	NULL	NULL	23309	2016-02-26 10:45:43.000	0	8	1	80	NULL	0	NULL
332785	NULL	NULL	23310	2016-02-26 10:45:44.000	0	6	1	80	NULL	0	NULL
332858	NULL	NULL	23316	2016-02-26 10:45:46.000	0	3	1	80	NULL	0	NULL
332974	NULL	NULL	23324	2016-02-29 15:21:47.000	0	11	1	80	NULL	0	NULL
333005	NULL	NULL	23328	2016-02-29 15:21:49.000	0	3	1	80	NULL	0	NULL
333092	NULL	NULL	23334	2016-02-29 15:21:51.000	0	8	1	80	NULL	0	NULL
333197	9766	2016-03-01 08:46:29.000	NULL	NULL	10	NULL	NULL	80	Case 	780	2.35
333392	NULL	NULL	23350	2016-03-04 08:15:37.000	0	11	1	80	NULL	0	NULL
333450	NULL	NULL	23355	2016-03-04 08:15:39.000	0	8	1	80	NULL	0	NULL
333569	NULL	NULL	23362	2016-03-04 08:15:41.000	0	10	1	80	NULL	0	NULL
333685	NULL	NULL	23369	2016-03-07 13:42:22.000	0	11	1	80	NULL	0	NULL
333726	NULL	NULL	23371	2016-03-07 13:42:23.000	0	10	1	80	NULL	0	NULL
333810	NULL	NULL	23379	2016-03-07 13:42:26.000	0	8	1	80	NULL	0	NULL
333974	9767	2016-03-08 09:13:38.000	NULL	NULL	10	NULL	NULL	80	Case 	780	2.35
334311	NULL	NULL	23400	2016-03-10 11:32:29.000	0	11	1	80	NULL	0	NULL
334515	NULL	NULL	23412	2016-03-11 10:38:06.000	0	3	1	80	NULL	0	NULL
334534	NULL	NULL	23413	2016-03-11 10:38:06.000	0	10	1	80	NULL	0	NULL
