ProductId	List Cost	OffInvoice	BillBack	CRV	Retail Price
54	207.00	72.3243	0.00	1.20	20.98
55	198.00	45.6004	0.00	0.60	34.98
56	78.00	10.3832	0.00	0.00	20.98
59	83.98	20.96	0.00	0.60	15.98
61	113.90	30.00	0.00	1.20	10.98
62	112.20	31.20	0.00	1.20	10.48
70	96.58	16.22	0.00	0.60	19.48
71	140.40	30.00	0.00	1.20	14.98
72	140.40	30.00	0.00	1.20	14.98
80	2.95	0.00	0.00	1.20	3.98
85	758.40	0.00	0.00	48.00	1.98
120	1382.40	0.00	0.00	0.00	0.50
127	52.48	8.50	1.90	0.00	26.98
128	80.76	5.04	11.16	0.00	13.98
133	1337.20	0.00	0.00	0.00	5.98
162	1346.40	0.00	0.00	0.00	0.78
190	1157.76	115.20	0.00	0.00	4.78
192	59.40	6.00	0.00	0.00	11.98
202	38.03	3.25	0.00	0.00	3.98
1619	252.00	46.20	0.00	1.20	26.98
1627	806.40	220.00	0.00	0.00	2.48
1630	89.03	11.40	0.00	0.00	3.48
1638	162.00	61.30	9.00	1.20	12.98
1640	817.32	0.00	245.00	0.00	3.98
1648	445.00	56.50	0.00	0.60	89.98
1679	602.00	20.00	0.00	0.00	3.98
266	109.14	35.40	0.00	0.60	17.98
285	537.84	0.00	0.00	0.00	0.98
289	76.12	18.60	0.00	0.60	14.98
311	1482.50	0.00	0.00	0.00	0.01
342	1884.00	838.50	0.00	0.00	4.98
347	126.18	30.00	0.00	0.60	25.98
348	126.18	30.00	0.00	0.60	25.98
352	35.40	5.31	0.00	0.00	3.48
353	35.40	5.31	0.00	0.00	3.48
363	20.39	0.00	0.00	0.00	1.38
366	18.86	0.00	0.00	0.00	0.98
368	18.86	0.00	0.00	0.00	0.98
371	19.08	3.60	0.00	0.00	1.58
392	27.17	5.43	0.00	0.00	1.58
395	27.27	3.81	0.00	0.00	4.98
397	27.17	5.43	0.00	0.00	1.58
398	27.17	5.43	0.00	0.00	1.58
