ProductId	ShipPk	ShipCfg	ShipUnitCt	ShipConfigWt	ShipCaseQty	TransPk	TransCfg	TransUnitCt	TransConfigWt
1	1	Case	24	25	1	1	Layer	408	900
2	1	Case	15	40	1	1	Case	15	40
3	1	Case	12	32	1	1	Case	12	32
4	1	Case	12	32	1	1	Case	12	32
5	1	Case	12	32	1	1	Case	12	32
6	1	Case	12	32	1	1	Case	12	32
7	1	Case	6	36	1	1	Case	6	36
8	1	Case	6	36	1	1	Case	6	36
9	1	Case	6	36	1	1	Case	6	36
10	1	Case	6	36	1	1	Case	6	36
11	1	Case	6	36	1	1	Case	6	36
12	1	Case	6	36	1	1	Case	6	36
13	1	Case	6	36	1	1	Case	6	36
14	1	Case	6	36	1	1	Case	6	36
15	1	Case	6	36	1	1	Case	6	36
16	1	Case	6	36	1	1	Case	6	36
17	1	Case	6	36	1	1	Case	6	36
18	1	Shipper	36	45.6	1	1	Shipper	36	45.6
19	1	Case	12	32	1	1	Case	12	32
20	1	Case	4	50	1	1	Case	4	50
21	1	Case	4	50	1	1	Case	4	50
22	1	Case	4	50	1	1	Case	4	50
23	1	Case	4	50	1	1	Case	4	50
24	1	Case	4	50	1	1	Case	4	50
25	1	Case	4	50	1	1	Case	4	50
26	1	Case	4	50	1	1	Case	4	50
27	1	Case	4	50	1	1	Case	4	50
28	1	Case	4	50	1	1	Case	4	50
29	1	Case	12	34	1	1	Case	12	34
30	1	Pallet	240	160	1	1	Pallet	240	160
31	1	Pallet	378	1211	1	1	Pallet	378	1211
32	1	Case	6	36	1	1	Case	6	36
33	1	Case	6	36	1	1	Case	6	36
34	1	Case	6	36	1	1	Case	6	36
35	1	Case	6	36	1	1	Case	6	36
36	1	Case	6	36	1	1	Case	6	36
37	1	Case	6	36	1	1	Case	6	36
38	1	Case	6	36	1	1	Case	6	36
39	1	Case	6	36	1	1	Case	6	36
40	1	Case	6	36	1	1	Case	6	36
41	1	Case	6	36	1	1	Case	6	36
42	1	Case	4	45	1	1	Case	4	45
43	1	Case	4	45	1	1	Case	4	45
44	1	Case	4	45	1	1	Case	4	45
45	1	Case	4	45	1	1	Case	4	45
46	1	Case	4	45	1	1	Case	4	45
47	1	Case	4	45	1	1	Case	4	45
48	1	Case	4	45	1	1	Case	4	45
49	1	Case	4	100	1	1	Case	4	100
50	1	Case	4	45	1	1	Case	4	45
51	1	Case	12	36	1	1	Case	12	36
52	1	Case	12	100	1	1	Case	12	100
53	1	Case	12	100	1	1	Case	12	100
54	1	Case	12	34.75	1	1	Case	12	34.75
55	1	Case	6	34.75	1	1	Case	6	34.75
56	1	Case	6	30	1	1	Case	6	30
57	1	Case	6	30	1	1	Case	6	30
58	1	Case	6	35.5	1	1	Case	6	35.5
59	1	Case	6	34.6	1	1	Case	6	34.6
60	1	Case	6	100	1	1	Case	6	100
61	1	Case	12	100	1	1	Case	12	100
62	1	Case	12	38	1	1	Case	12	38
63	1	Case	6	36.4	1	1	Case	6	36.4
64	1	Case	12	100	1	1	Case	12	100
65	1	Case	15	38.5	1	1	Case	15	38.5
66	1	Case	12	25	1	1	Case	12	25
67	1	Pallet	189	603	1	1	Pallet	378	1206
68	1	Case	12	100	1	1	Case	12	100
69	1	Case	6	36.4	1	1	Case	6	36.4
70	1	Case	6	35.5	1	1	Case	6	35.5
71	1	Case	12	37.55	1	1	Case	12	37.55
72	1	Case	12	37.55	1	1	Case	12	37.55
73	1	Case	12	37.55	1	1	Case	12	37.55
74	1	Pallet	210	2026	1	1	Pallet	210	2026.
75	1	Pallet	210	2026	1	1	Pallet	210	2026.
76	1	Pallet	840	2030	1	1	Pallet	840	2030
77	1	Pallet	840	1700	1	1	Pallet	840	1700
78	1	Pallet	320	1500	1	1	Pallet	320	1500
79	1	Pallet	480	1620	1	1	Pallet	480	1620
80	1	Case	1	27.5	1	1	Pallet	84	2310.
81	1	Case	6	53	1	1	Pallet	288	2544
82	1	Pallet	360	100	1	1	Pallet	360	100
83	1	Pallet	360	1866	1	1	Pallet	360	1866
84	1	Case	6	13	1	1	Case	6	13
85	1	Pallet	480	2280	1	1	Pallet	480	2280
86	1	Case	6	18	1	1	Case	6	18
87	1	Case	1	10	1	1	Pallet	200	2000
88	1	Case	1	10	1	1	Pallet	200	2000
89	1	Case	1	10	1	1	Pallet	200	2000
90	1	Pallet	126	357	1	1	Pallet	126	357
91	1	Pallet	252	566	1	1	Pallet	252	566
92	1	Pallet	252	566	1	1	Pallet	252	566
93	1	Pallet	270	225	1	270	Pallet	270	225
94	1	Pallet	672	660	1	1	Pallet	672	660
95	1	Shipper	288	18	1	1	Shipper	288	18
96	1	Shipper	288	100	1	1	Shipper	288	100
97	1	Pallet	260	1713.21	1	1	Pallet	260	1713.21
98	1	Pallet	180	1402	1	1	Pallet	180	1402
99	1	Pallet	176	1402	1	1	Pallet	176	1402.
100	1	Case	1	31.84	1	1	Pallet	48	1528.32
101	1	Case	1	31.84	1	1	Pallet	48	1528.32
102	1	Pallet	900	1693	1	1080	Pallet	900	1693
103	1	Pallet	252	1280.13	1	252	Pallet	252	1280.13
104	1	Pallet	144	889.92	1	144	Pallet	144	889.92
105	1	Pallet	252	1700	1	252	Pallet	252	1700
106	1	Case	6	44.9	1	1	Pallet	252	1885.8
108	1	Case	1	38	1	1	Pallet	30	1026
109	1	Pallet	456	100	1	1	Pallet	456	100
110	1	Shipper	72	65	1	1	Shipper	72	65
111	1	Case	1	20	1	1	Pallet	40	800
112	1	Case	4	21	1	1	Pallet	80	420.
113	1	Case	8	19.2	1	1	Layer	40	110
114	1	Pallet	48	412	1	1	Pallet	48	412
115	1	Case	12	18	1	1	Pallet	180	324
116	1	Case	30	19	1	1	Pallet	450	285
117	1	Pallet	30	194.23	1	1	Pallet	30	194.23
118	1	Pallet	460	100	1	1	Pallet	460	100
119	1	Pallet	2400	1520	1	1	Pallet	2400	1520
120	1	Pallet	3840	2408	1	1	Pallet	3840	2408
121	1	Pallet	320	886	1	1	Pallet	320	886
122	1	Pallet	320	886	1	1	Pallet	320	886
123	1	Pallet	320	886	1	1	Pallet	320	886
124	1	Case	12	37.3	1	1	Pallet	432	1342.8
127	1	Case	2	32.68	1	1	Layer	24	392.16
128	1	Case	6	49.49	1	1	Pallet	216	1781.64
129	1	Pallet	576	2400	1	1	Pallet	576	2400
130	1	Case	10	41.15	1	1	Pallet	600	2469
131	1	Pallet	504	2575	1	1	Pallet	504	2575
132	1	Case	2	50.5	1	1	Case	2	50.5
133	1	Pallet	480	932.16	1	1	Pallet	480	932.16
134	1	Case	12	23.1	1	1	Pallet	480	924.
135	1	Pallet	600	1240	5	1	Layer	120	248
136	1	Pallet	504	750	1	1	Pallet	504	750
137	1	Case	24	41	1	1	Pallet	672	1148
138	1	Case	24	51	1	1	Pallet	672	1148
139	1	Shipper	72	100	1	1	Shipper	72	100
140	1	Layer	240	100	1	1	Layer	240	100
141	1	Layer	240	100	1	1	Layer	240	100
142	1	Layer	240	100	1	1	Layer	240	100
143	1	Pallet	408	547.4	1	1	Pallet	408	547.4
144	1	Shipper	48	48.32	1	1	Shipper	48	48.32
145	1	Pallet	378	1211	1	1	Pallet	378	1211
146	1	Pallet	384	100	1	1	Pallet	384	100
147	1	Pallet	288	100	1	1	Pallet	288	100
148	1	Pallet	360	400	1	1	Pallet	360	400
149	1	Case	18	17	1	1	Pallet	504	476
150	1	Pallet	360	100	1	1	Pallet	360	100
151	1	Pallet	216	100	1	1	Pallet	216	100
152	1	Pallet	324	700	1	1	Pallet	324	700
153	1	Pallet	432	588.89	1	1	Pallet	432	588.89
154	1	Pallet	324	462.02	1	1	Pallet	324	462.02
155	1	Pallet	252	100	1	1	Pallet	252	100
156	1	Case	18	17	1	1	Pallet	504	476
157	1	Pallet	252	100	1	1	Pallet	252	100
158	1	Pallet	288	1368	1	1	Pallet	288	1368.
159	1	Pallet	576	639.2	1	1	Pallet	576	639.2
160	1	Shipper	48	39	1	1	Shipper	48	39
161	1	Pallet	768	864	1	1	Pallet	768	936
