ProductId	VendorId	UPC	Product Description	CasePack	Size	ShipCaseQty	WhseCase Cost	OffInvoice	BillBack	CRV	TransPk	TransCfg	TransUnitCt	TransConfigWt	TransCaseCost	TransCRV	RetailMult	Retail Unit	TransCaseQty	IsActive
82	31	0000000000	Tropicana Twister Tropical Fruit	360	1.75 LT	1	248.40	0.00	0.00	0.00	1	Pallet	360	100	248.40	0.00	1	0.98	1	0
83	31	0000000000	Tropicana Twister Straw Kiwi	360	1.75 LT	1	248.40	0.00	0.00	0.00	1	Pallet	360	1866	248.40	0.00	1	0.98	1	0
84	31	0000000766	Tropicana Twister Straw Banana	6	1.75 LT	1	11.66	0.00	7.56	0.60	1	Case	6	13	4.10	0.60	1	0.98	1	0
2043	31	5200010245	Gatorade  Galcier Cherry	3	20 OZ	1	18.58	0.00	5.81	1.20	1	Case	3	30	12.77	1.20	1	4.98	1	0
2513	31	1530020064	Cheetos Mac & Cheese Shipper	72	5.9 OZ	1	118.08	46.08	0.00	0.00	1	Shipper	72	35	69.64	0.00	1	1.99	1	0
1790	31	15300001450	Pasta Roni Fettucine Alfredo	12	4.7 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	4.14	11.28	0.00	1	1.48	1	1
1791	31	15300001448	Pasta Roni Shell/White Cheddar	12	6.2 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	4.14	11.28	0.00	1	1.48	1	1
1792	31	15300001489	Rice - A Roni Long Grain & Wild	12	4.3 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	4.58	11.76	0.00	1	0.98	1	0
1793	31	1530001466	Rice - A - Roni Savory Pilaf	12	7.2 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	7.3	11.76	0.00	1	0.98	1	1
1794	31	15300001479	Rice - A - Roni Beef	12	6.8 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	7.1	11.76	0.00	1	1.28	1	1
1795	31	1530001341	Rice- A- Roni Chicken	12	6.9 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	7.1	11.28	0.00	1	1.48	1	1
1878	31	1530001491	Rice A Roni Cilantro Lime Rice	12	5.6 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	7	11.76	0.00	1	0.98	1	0
1879	31	1530001465	Rice A Roni Herb & Butter	12	7.2  OZ	1	21.60	9.84	0.00	0.00	1	Case	12	7	11.76	0.00	1	0.98	1	0
1880	31	1530001459	Pasta Roni BTR/Garlic	12	4.7 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	4.8	11.76	0.00	1	0.98	1	0
1881	31	1530043030	Rice A Roni Red Bean and Rice	12	6.4 OZ	1	19.92	4.68	0.00	0.00	1	Case	12	7	15.24	0.00	1	0.98	1	0
1867	31	1530001464	Rice A Roni Spanish	12	6.8 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	5.5	11.28	0.00	1	1.48	1	1
1868	31	0000000000	Rice-A-Roni Mod	1080	ASST	1	1263.60	421.20	0.00	0.00	1	Module	1080	658	817.40	0.00	1	0.98	1	0
169	31	0000062040	Rice - Pasta Roni Pallet Asst	312	1 CT	1	355.63	94.75	0.00	0.00	2	Pallet	624	336.53	585.00	0.00	1	1.18	2	0
1489	31	0000001379	Rice a Roni Pasta Roni	304	ASST	1	355.63	0.00	94.75	0.00	1	Pallet	608	340	450.00	0.00	1	0.98	2	0
1788	31	15300001462	Pasta Roni Angel Hair Parmesan	12	5.1 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	4.14	11.28	0.00	1	1.48	1	1
1789	31	1530001461	Pasta Roni Angel Hair W/Herbs	12	4.8 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	4.8	11.28	0.00	1	1.48	1	1
1796	31	0000000000	Rice-A-Roni Mod	1080	ASST	1	1944.00	885.60	0.00	0.00	1	Module	1080	511	1015.20	0.00	1	1.48	1	1
1797	31	0000000000	Pasta Roni Mod.	648	ASST	1	1166.40	531.36	0.00	0.00	1	Module	648	717	609.12	0.00	1	1.48	1	1
2528	31	1530001494	Rice A Roni Chicken/Garlic	12	4.3 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	5.5	11.76	0.00	1	0.98	1	0
2529	31	1530043064	Rice A Roni Broc/Augratin	12	6.5 OZ	1	21.60	12.60	0.00	0.00	1	Case	12	5.5	9.00	0.00	1	0.98	1	0
2530	31	1530001454	Pasta Roni Chicken	12	4.6 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	4.8	11.76	0.00	1	0.98	1	0
2531	31	1530001455	Pasta Roni Four Cheese	12	6  OZ	1	21.60	9.84	0.00	0.00	1	Case	12	5.5	11.76	0.00	1	0.98	1	0
2551	31	1530001467	Rice A Roni Low Sodium Chicken	12	6.90	12	21.60	9.84	0.00	0.00	1	Case	12	5.5	11.76	0.00	1	1.18	12	0
2724	31	1530001452	Pasta Roni Herb/Butter	12	5.5 oz	1	21.60	9.84	0.00	0.00	1	Case	12	6	11.76	0.00	1	1.18	1	0
2760	31	1530001473	Rice A Roni Four Cheese	12	6.4 OZ	1	19.56	9.12	0.00	0.00	1	Case	12	6	10.44	0.00	1	1.18	1	0
2590	31	1530001468	Rice A Roni Ched/Broc	12	6.5 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	7	11.76	0.00	1	1.18	1	0
2591	31	1530001476	Rice A Roni Fried Rice	12	6.2 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	7	11.76	0.00	1	1.18	1	0
2592	31	1530001473	Rice A Roni Four Cheese	12	6 OZ	1	21.60	9.84	0.00	0.00	1	Case	12	7	11.76	0.00	1	1.18	1	0
2222	31	3000031162	Quaker 2 Flvr Oat Square Shipper	108	14.5 OZ	1	376.92	171.27	11.00	0.00	1	Shipper	108	120	194.65	0.00	1	2.48	1	0
2054	31	3000056828	Quaker Oatmeal Frt/Cream Var	12	10.5 OZ	1	48.24	24.24	0.00	0.00	1	Case	12	13	24.00	0.00	1	2.98	1	0
2055	31	3000056729	Quaker Instant Oatmeal Apple Cinn	12	12.1 OZ	1	48.24	24.24	0.00	0.00	1	Case	12	14	24.00	0.00	1	2.98	1	0
1787	31	3000066507	Capt. Crunch Peanut Butter	14	11.4 OZ	1	57.82	28.70	0.00	0.00	1	Case	14	14	29.12	0.00	1	2.98	1	0
1192	31	3000063501	Quaker Standard Oats Mix Plt	300	42 OZ	1	1134.00	0.00	425.86	0.00	1	Pallet	300	850	708.14	0.00	1	2.98	1	0
1370	31	0000057411	Cap'n Crunch Jumbo 7 Case Mod	92	13-14 OZ	1	133.40	0.00	0.00	0.00	1	Shipper	92	110	133.40	0.00	1	1.98	1	0
1573	31	0000056431	Captain Crunch Pallet	14	12.5-14 OZ	1	733.36	302.09	109.18	0.00	1	Pallet	206	200	322.09	0.00	1	1.98	1	0
763	31	0000000000	Quaker Oat Round Pallets	12	42 OZ	1	21.86	0.00	0.00	0.00	1	Pallet	144	144	262.32	0.00	1	2.48	12	0
817	31	3000332020	Life Cereal 9 Case Mod	108	13OZ	1	400.68	186.84	0.00	0.00	1	Shipper	108	120	213.84	0.00	1	2.98	1	0
818	31	3000057322	Capt Crunch Crunch Berries	14	11.7OZ	1	60.76	32.76	0.00	0.00	1	Case	14	15	28.00	0.00	1	2.48	1	0
819	31	3000057051	Quaker Inst. Strawberry & Cream	12	12.3OZ	1	48.24	24.24	0.00	0.00	1	Case	12	13	24.00	0.00	1	1.98	1	0
845	31	3000006507	Captain Crunch P/Butter	14	12.5 OZ	1	47.74	20.60	0.00	0.00	1	Case	14	20	27.14	0.00	1	2.48	1	0
846	31	3000057321	Captain Crunch Original	14	12.6 OZ	1	60.76	32.76	0.00	0.00	1	Case	14	20	28.00	0.00	1	2.48	1	0
847	31	3000006567	Captain Crunch Berries	14	13 OZ	1	47.74	0.00	20.60	0.00	1	Case	14	20	27.14	0.00	1	2.48	1	0
867	31	0000000000	Captain Crunch Mixed Pallet	308	14-16 OZ	1	458.48	0.00	0.00	0.00	1	Pallet	308	350	458.48	0.00	1	1.98	1	0
951	31	3000006119	Life Cereal	14	18 OZ	1	54.04	0.00	21.28	0.00	1	Case	14	19	31.68	0.00	1	2.98	1	0
1029	31	0000000000	Quaker Oat Rounds	288	42 OZ	1	1088.64	0.00	517.20	0.00	1	Pallet	288	480	560.56	0.00	1	2.48	1	0
150	31	0000000000	Quaker Oat Rounds Mixed Plt	360	42 OZ	1	734.40	0.00	0.00	0.00	1	Pallet	360	100	734.40	0.00	1	2.78	1	0
245	31	3000016924	Quaker White Cedd Mini Rice CK	12	3.03 oz	1	26.64	10.08	0.00	0.00	1	Case	12	4	16.56	0.00	1	1.98	1	0
342	31	0000063501	Quaker Oat Rounds Mixed Plt	300	42 OZ	1	1884.00	838.50	0.00	0.00	1	Pallet	300	920	1008.50	0.00	1	4.98	1	1
440	31	3000006322	Quaker Life Cinnamon	12	13 OZ	1	36.72	0.00	17.50	0.00	1	Case	12	15	19.22	0.00	1	2.48	1	0
441	31	3000006110	Quaker Life Cereal	14	21 OZ	1	49.98	0.00	22.20	0.00	1	Case	14	21	26.78	0.00	1	2.48	1	0
458	31	3000021775	Quaker Life Cereal Mixed Plt	252	21 OZ	1	876.51	0.00	498.51	0.00	1	Pallet	252	200	378.00	0.00	1	1.98	1	0
474	31	0000022056	Captain Crunch Pallet	168	15-16 OZ	1	552.72	0.00	300.68	0.00	1	Pallet	168	211	256.36	0.00	1	1.98	1	0
498	31	3000001040	Quaker Old Fashioned Oats	12	42 OZ	1	75.36	32.28	0.00	0.00	1	Case	12	20	43.08	0.00	1	3.98	1	0
499	31	3000001200	Quaker Quick Oat Rounds	12	42 OZ	1	75.36	32.28	0.00	0.00	1	Case	12	20	43.08	0.00	1	3.98	1	0
500	31	3000006430	Quaker Oat Squares Original	12	16 OZ	1	43.68	0.00	23.68	0.00	1	Case	12	20	21.37	0.00	1	2.38	1	0
512	31	0000000000	Quaker Oat Round Mix Pallet	144	42 OZ	1	273.12	0.00	0.00	0.00	1	Pallet	144	425	273.12	0.00	1	2.48	1	0
654	31	0000006150	Quaker Cinnamon Oat Squares	12	16 OZ	1	40.44	0.00	21.44	0.00	1	Case	12	20	18.19	0.00	1	1.98	1	0
609	31	0000000000	Quaker Instant Oats Mod	240	SINGLES	1	727.10	245.00	0.00	0.00	1	Pallet	240	255	452.10	0.00	2	2.50	1	0
1636	31	0000056427	Captain Crunch Christmas Crunch	92	ASST	1	304.52	160.97	0.00	0.00	1	Display	92	60	137.46	0.00	1	1.98	1	0
1654	31	0000056425	Captain Crunch Display	92	13-14 OZ	1	313.72	0.00	167.32	0.00	1	Pallet	368	400	585.96	0.00	1	1.98	4	0
751	31	0000006354	Life Cereal Regular	12	13 OZ	1	46.80	22.80	0.00	0.00	1	Case	12	15	24.00	0.00	1	2.48	1	0
1871	31	3000006700	Quaker Cereal 100% Nat Oat & Hny	12	28 OZ	1	53.52	17.52	0.00	0.00	1	Case	12	23	36.00	0.00	1	3.98	1	0
1872	31	3000006720	Quaker Cereal 100% Nat Oats H.R.	12	28 OZ	1	53.52	17.52	0.00	0.00	1	Case	12	23	36.00	0.00	1	3.98	1	0
1873	31	3000057322	Quaker Capt N Crunchberries	14	11.7 OZ	1	60.76	32.76	0.00	0.00	1	Case	14	13	28.00	0.00	1	2.98	1	0
1874	31	3000057321	Quaker Capt N Origanal	14	12.6 OZ	1	60.76	32.76	0.00	0.00	1	Case	14	13	28.00	0.00	1	2.98	1	0
1875	31	3000006322	Quaker Cereal Life Cinnamon	12	13 OZ	1	40.44	18.00	0.00	0.00	1	Case	12	12	22.44	0.00	1	2.48	1	0
2187	31	3000006083	Quaker Cinnamon Life	14	18 OZ	1	70.98	29.78	0.00	0.00	1	Case	14	18	41.20	0.00	1	2.98	1	0
2188	31	3000006119	Quaker Life Regular	14	18 OZ	1	70.98	29.78	0.00	0.00	1	Case	14	18	41.20	0.00	1	2.98	1	0
2207	31	3000006700	Quaker Nat Cereal Oats/Honey	10	28 OZ	1	44.60	14.90	0.00	0.00	1	Case	10	20	29.70	0.00	1	2.98	1	0
2208	31	300006720	Quaker 100% Natural Raisin	10	28 OZ	1	44.60	14.90	0.00	0.00	1	Case	10	22	29.70	0.00	1	2.98	1	0
1824	31	3000006153	Quaker Cereal Oat Squares Cinn.	12	14.5	1	50.76	25.32	0.00	0.00	1	Case	12	12.5	25.44	0.00	1	2.48	1	0
1825	31	3000006441	Quaker Cereal Oat Sq. Brn Sugar	12	14 OZ	1	50.76	25.32	0.00	0.00	1	Case	12	12.5	25.44	0.00	1	2.48	1	0
1826	31	3000006119	Quaker Cereal Life Regular	14	18 OZ	1	55.72	22.48	0.00	0.00	1	Case	14	17.5	33.24	0.00	1	2.98	1	0
1827	31	3000006083	Quaker Cereal Life Cinnamon	14	14.5 OZ	1	55.72	22.48	0.00	0.00	1	Case	14	17.5	33.24	0.00	1	2.98	1	0
2441	31	3000057324	Captain Crucnh Orig. Large	12	18 OZ	1	61.32	25.80	0.00	0.00	1	Case	12	15	35.52	0.00	1	3.48	1	0
2442	31	3000057325	Captain Crunch Crucnchberry	12	18.7OZ	1	61.32	25.80	0.00	0.00	1	Case	12	15	35.52	0.00	1	3.48	1	0
2477	31	0000000000	Quaker Captain Crunch Berries	1	16.8 OZ	1	52.50	21.28	0.00	0.00	1	Layer	1	226	31.22	0.00	1	2.98	1	0
2210	31	3000016931	Quaker Choc. Crunch Mini	12	3.52 oz	1	26.64	10.08	0.00	0.00	1	Case	12	4	16.56	0.00	1	1.48	1	1
2228	31	3000057136	Quaker Oats Pallet	100	18 OZ	1	248.02	94.00	30.00	0.00	1	Pallet	100	125	124.02	0.00	1	1.58	1	0
2229	31	3000062058	Quaker Oats PLT	180	42 OZ	1	757.80	338.70	0.00	0.00	1	Module	180	550	419.10	0.00	1	2.98	1	0
2237	31	3000032020	Quaker Life Display	108	13 OZ	1	330.48	134.52	30.00	0.00	1	Shipper	108	101	165.96	0.00	1	1.98	1	0
2343	31	3000006322	Quaker Life Cinn.	12	13 OZ	1	46.80	22.80	0.00	0.00	1	Case	12	13	24.00	0.00	1	2.98	1	0
2344	31	3000006354	Quaker Life Regular	12	13 OZ	1	46.80	18.12	0.00	0.00	1	Case	12	13	28.68	0.00	1	2.98	1	0
2347	31	3000006153	Quaker Oatmeal Squares Cinn.	12	14 OZ	1	50.76	25.32	0.00	0.00	1	Case	12	13	25.44	0.00	1	2.98	1	0
